emergency_type,emergency_severity,population_affected,emergency_duration,resource_type,daily_consumption,days_since_emergency,previous_demand,current_inventory,future_requirement
FIRE,LOW,7162,31,WATER,23258.57,13,377885.6,443236,457144.7
FIRE,CRITICAL,6625,19,BABY_SUPPLIES,59.53,15,1096.0,245,270.0
FLOOD,MEDIUM,12108,16,MEDICINE,171.15,13,2019.9,539,543.1
FIRE,MEDIUM,11033,8,FIRST_AID_KITS,52.31,6,274.0,74,106.2
EARTHQUAKE,HIGH,10123,38,CLOTHING,158.77,28,4396.2,2088,2168.0
EPIDEMIC,LOW,2436,36,CLOTHING,25.0,8,259.7,532,674.1
FIRE,CRITICAL,14315,43,FOOD,13146.47,26,335044.2,244957,236547.3
CYCLONE,MEDIUM,10035,41,BLANKETS,231.59,28,4755.0,2690,3815.8
FIRE,MEDIUM,7650,33,WATER,24322.63,26,569506.2,71100,173841.4
FLOOD,HIGH,1367,7,HYGIENE_KITS,16.99,1,12.5,133,127.9
FIRE,HIGH,12413,37,WATER,49822.18,27,1683763.9,439046,492361.5
FLOOD,HIGH,3424,20,FOOD,3365.45,16,47732.5,10813,15999.7
DROUGHT,MEDIUM,17385,12,BLANKETS,498.6,4,2001.3,2851,3982.8
EPIDEMIC,HIGH,1991,15,HYGIENE_KITS,30.07,11,327.8,64,109.7
LANDSLIDE,HIGH,11136,35,BLANKETS,358.33,19,6541.2,5262,6424.6
EPIDEMIC,HIGH,9855,40,HYGIENE_KITS,168.32,33,7007.8,1135,1177.2
LANDSLIDE,MEDIUM,14517,19,CLOTHING,190.21,8,1330.4,1114,2155.3
DROUGHT,HIGH,3026,7,BLANKETS,82.06,2,156.3,268,412.0
EPIDEMIC,HIGH,1802,12,HYGIENE_KITS,28.6,0,28.0,317,329.9
FIRE,HIGH,5856,14,WATER,21986.34,7,186375.9,165659,159035.4
FIRE,HIGH,1892,25,HYGIENE_KITS,27.22,2,47.9,569,647.2
DROUGHT,MEDIUM,15167,26,FOOD,11966.08,20,191452.9,64401,66670.9
DROUGHT,MEDIUM,13704,42,FIRST_AID_KITS,59.47,33,1697.5,430,478.5
FLOOD,MEDIUM,13148,27,HYGIENE_KITS,153.88,22,2519.4,508,858.6
CYCLONE,HIGH,3980,30,HYGIENE_KITS,65.34,16,866.7,805,1121.6
FLOOD,HIGH,4411,14,WATER,17108.92,7,129327.1,73527,143634.7
CYCLONE,MEDIUM,4206,16,MEDICINE,52.18,6,335.9,226,562.8
FLOOD,MEDIUM,14782,39,BLANKETS,307.07,5,1558.3,5489,11190.5
CYCLONE,HIGH,8038,15,BABY_SUPPLIES,57.47,9,432.0,297,404.1
EPIDEMIC,HIGH,7322,44,CLOTHING,125.75,10,1476.8,2503,3467.0
FLOOD,MEDIUM,4062,8,CLOTHING,45.35,5,241.5,188,176.2
FLOOD,CRITICAL,14223,37,FOOD,16163.96,16,216383.0,344343,445615.4
FIRE,MEDIUM,1501,41,FOOD,980.19,30,28905.0,12488,12563.0
DROUGHT,MEDIUM,4115,42,WATER,18089.96,9,116358.4,620672,567633.7
CYCLONE,MEDIUM,2140,33,FIRST_AID_KITS,11.1,1,9.3,364,488.8
DROUGHT,LOW,1315,9,MEDICINE,15.73,1,17.3,90,126.3
EPIDEMIC,MEDIUM,18613,35,CLOTHING,270.88,6,1446.9,7288,6988.6
FIRE,LOW,8354,35,BABY_SUPPLIES,36.37,6,167.1,652,955.8
FLOOD,HIGH,2078,12,WATER,8984.82,6,67028.8,33838,59462.8
EPIDEMIC,CRITICAL,1468,37,FIRST_AID_KITS,9.0,0,10.4,250,303.2
CYCLONE,LOW,16505,40,BLANKETS,358.93,11,4054.6,12603,11654.8
EARTHQUAKE,MEDIUM,14788,19,FIRST_AID_KITS,73.98,2,138.6,1606,1751.4
FLOOD,HIGH,16977,9,CLOTHING,262.6,4,1327.4,996,1536.0
FLOOD,MEDIUM,19428,29,WATER,86725.55,12,784727.1,1077187,1654870.6
FIRE,CRITICAL,15428,25,FIRST_AID_KITS,110.19,12,1552.7,606,1218.5
EARTHQUAKE,MEDIUM,13649,9,BABY_SUPPLIES,95.49,4,418.8,651,672.3
LANDSLIDE,CRITICAL,14330,43,WATER,65705.49,9,470854.9,1740139,2261473.3
FLOOD,CRITICAL,13847,42,BABY_SUPPLIES,134.14,29,3275.9,1286,1914.5
FLOOD,CRITICAL,11089,41,FIRST_AID_KITS,77.37,31,1875.5,806,807.2
FIRE,MEDIUM,923,27,WATER,3028.43,13,32347.4,19528,46205.4
FLOOD,LOW,4919,13,CLOTHING,47.38,7,276.1,302,353.3
FLOOD,HIGH,5917,30,BABY_SUPPLIES,39.92,13,535.3,463,709.0
EARTHQUAKE,MEDIUM,18385,29,BABY_SUPPLIES,98.25,1,86.4,2769,3604.9
EPIDEMIC,CRITICAL,19483,44,HYGIENE_KITS,324.59,12,4283.5,5508,9208.3
EARTHQUAKE,HIGH,6355,13,BABY_SUPPLIES,51.8,8,519.3,382,373.9
CYCLONE,MEDIUM,17159,33,HYGIENE_KITS,214.11,7,1270.3,4309,6316.5
CYCLONE,MEDIUM,14562,34,HYGIENE_KITS,163.29,29,3453.1,470,1093.1
FLOOD,HIGH,2859,24,FOOD,2288.16,14,33657.8,16521,28352.9
FIRE,HIGH,5140,24,FIRST_AID_KITS,27.05,7,237.0,468,460.9
CYCLONE,LOW,2376,6,BABY_SUPPLIES,14.09,4,70.5,16,33.5
FLOOD,HIGH,12102,26,FIRST_AID_KITS,79.08,18,999.6,547,753.9
FLOOD,MEDIUM,18857,29,BLANKETS,447.29,6,1943.8,6075,13607.6
CYCLONE,MEDIUM,13021,18,HYGIENE_KITS,145.78,10,1645.5,1050,1477.4
DROUGHT,MEDIUM,2001,17,BLANKETS,44.51,2,103.7,499,646.3
EARTHQUAKE,MEDIUM,5698,34,CLOTHING,77.73,12,806.8,1602,2508.3
EPIDEMIC,MEDIUM,9932,6,MEDICINE,125.9,4,572.2,236,263.5
EPIDEMIC,MEDIUM,5287,5,WATER,18388.43,4,80107.9,8428,15512.1
EARTHQUAKE,CRITICAL,2368,41,HYGIENE_KITS,47.96,14,556.8,1486,1711.4
FLOOD,LOW,17201,11,FOOD,12692.7,9,93787.8,27715,30283.8
LANDSLIDE,HIGH,18811,40,FIRST_AID_KITS,96.55,32,2734.8,463,909.9
LANDSLIDE,MEDIUM,14647,41,WATER,56916.44,20,1243492.0,1046559,1145980.8
FLOOD,HIGH,11746,11,BABY_SUPPLIES,79.28,0,59.1,725,1164.0
EPIDEMIC,LOW,5335,26,FIRST_AID_KITS,22.73,21,567.5,77,100.0
FLOOD,LOW,10842,33,CLOTHING,130.63,20,2261.1,1785,1939.9
FIRE,MEDIUM,7396,35,WATER,31496.16,25,681956.4,339519,345584.5
FLOOD,MEDIUM,5255,17,CLOTHING,70.05,10,565.6,525,541.7
FIRE,HIGH,13079,10,WATER,49047.1,4,174374.7,273789,283504.8
LANDSLIDE,MEDIUM,12595,37,BABY_SUPPLIES,74.0,30,2194.6,256,486.7
FLOOD,MEDIUM,10322,37,FOOD,7622.2,29,255036.9,45324,72811.2
FIRE,MEDIUM,7583,31,FOOD,5029.13,22,82200.9,35449,41824.0
CYCLONE,HIGH,16961,39,WATER,67391.86,22,1170361.2,661134,1251929.8
LANDSLIDE,HIGH,650,30,BLANKETS,16.64,7,92.4,238,435.5
CYCLONE,HIGH,10813,13,BABY_SUPPLIES,80.77,1,74.2,858,1209.3
CYCLONE,MEDIUM,7786,15,FIRST_AID_KITS,44.81,7,334.2,250,459.4
LANDSLIDE,MEDIUM,12320,8,FIRST_AID_KITS,58.02,6,312.8,72,139.0
FLOOD,MEDIUM,8405,29,WATER,32546.37,19,683374.4,305930,434791.3
LANDSLIDE,LOW,14611,38,BABY_SUPPLIES,86.52,1,79.0,2953,3279.2
DROUGHT,LOW,17243,24,FOOD,10905.16,2,19759.2,213213,241693.1
FIRE,CRITICAL,9176,25,HYGIENE_KITS,179.43,21,3976.5,333,824.3
EARTHQUAKE,CRITICAL,17010,27,BLANKETS,630.36,18,12421.4,4003,7510.1
FLOOD,CRITICAL,11381,30,HYGIENE_KITS,245.7,15,3751.4,3673,4664.3
FIRE,LOW,19307,43,BABY_SUPPLIES,120.25,3,342.4,4730,5298.2
FLOOD,MEDIUM,7972,34,BABY_SUPPLIES,44.68,12,688.5,709,1176.8
FLOOD,HIGH,5516,21,FOOD,5204.16,16,104056.5,20843,27924.4
CYCLONE,HIGH,5377,23,BABY_SUPPLIES,40.53,3,120.0,469,1139.4
FIRE,MEDIUM,7139,40,WATER,24474.81,28,490204.4,145644,323368.6
EPIDEMIC,HIGH,10748,45,WATER,52060.52,12,545445.7,806082,1472502.9
FLOOD,CRITICAL,18348,34,FOOD,20206.25,21,528538.9,353984,339231.7
CYCLONE,HIGH,15373,18,FOOD,11578.68,5,52609.0,162217,212036.7
FIRE,HIGH,3863,26,FIRST_AID_KITS,21.92,10,153.7,355,350.6
EPIDEMIC,CRITICAL,11797,7,FIRST_AID_KITS,100.54,1,88.9,271,564.4
FIRE,MEDIUM,17318,13,FIRST_AID_KITS,87.93,1,108.7,951,1119.1
FLOOD,MEDIUM,15783,11,FOOD,11873.06,3,30094.4,87319,110951.5
CYCLONE,HIGH,583,38,BLANKETS,20.51,17,330.8,225,503.2
EPIDEMIC,MEDIUM,11830,29,FIRST_AID_KITS,51.94,2,89.6,750,1165.0
FLOOD,HIGH,18596,20,BABY_SUPPLIES,150.37,16,2037.2,455,705.8
LANDSLIDE,MEDIUM,3922,43,HYGIENE_KITS,44.99,29,1426.8,526,666.1
CYCLONE,HIGH,2155,12,FIRST_AID_KITS,15.29,1,18.5,229,209.7
CYCLONE,LOW,17401,28,FIRST_AID_KITS,70.74,9,709.7,1362,1697.0
DROUGHT,MEDIUM,13902,7,WATER,48446.49,6,290474.7,38683,45197.6
EPIDEMIC,HIGH,10735,22,BLANKETS,268.49,11,3661.5,2161,2548.2
LANDSLIDE,MEDIUM,6392,26,CLOTHING,89.64,3,254.6,1891,1822.7
EPIDEMIC,CRITICAL,19005,30,WATER,112556.18,19,1802210.2,1223293,1130783.5
EPIDEMIC,CRITICAL,992,6,FIRST_AID_KITS,7.1,1,5.6,24,33.7
LANDSLIDE,HIGH,1108,32,WATER,4364.52,19,88159.0,56105,66275.6
FLOOD,LOW,9131,44,BLANKETS,222.77,11,2346.2,5063,9082.0
EARTHQUAKE,MEDIUM,5348,34,MEDICINE,59.34,14,715.5,1597,1680.4
CYCLONE,MEDIUM,6174,28,HYGIENE_KITS,83.85,16,1600.3,1017,1374.4
EPIDEMIC,MEDIUM,11179,15,BABY_SUPPLIES,67.87,11,741.2,264,271.7
FLOOD,MEDIUM,19357,39,CLOTHING,222.89,24,5372.9,3505,3920.0
FLOOD,LOW,4123,14,CLOTHING,39.15,7,325.6,146,342.9
EARTHQUAKE,CRITICAL,18262,16,HYGIENE_KITS,301.85,12,3209.3,1782,1805.4
FLOOD,HIGH,14263,36,BABY_SUPPLIES,101.05,3,379.6,2086,4009.8
EPIDEMIC,LOW,5808,21,WATER,18437.07,17,251700.7,37249,62857.9
FLOOD,HIGH,6594,12,WATER,33453.16,1,33365.9,206495,428824.9
FLOOD,LOW,1479,38,MEDICINE,15.58,12,175.5,304,480.8
EPIDEMIC,LOW,17911,23,WATER,49630.79,8,451763.0,594408,684300.7
FIRE,CRITICAL,1695,12,FOOD,1556.09,4,4845.0,8266,12618.2
FLOOD,CRITICAL,5928,36,BLANKETS,247.08,14,2658.5,5629,6631.9
FIRE,LOW,5640,27,FOOD,3070.44,22,86902.9,13660,15270.4
CYCLONE,MEDIUM,7424,7,WATER,23703.73,4,123039.1,83889,102275.8
DROUGHT,CRITICAL,11815,10,BABY_SUPPLIES,95.0,6,631.9,247,339.7
CYCLONE,HIGH,19623,24,WATER,85578.92,3,261915.6,2034594,1873748.3
FIRE,MEDIUM,8958,12,MEDICINE,125.7,5,710.2,802,808.7
FLOOD,LOW,16576,8,WATER,58982.4,5,361179.7,126873,215153.2
FLOOD,MEDIUM,6639,37,FIRST_AID_KITS,30.07,7,264.7,442,1026.4
CYCLONE,LOW,15320,32,WATER,49279.39,12,560120.3,901503,1279888.6
LANDSLIDE,MEDIUM,7855,32,BLANKETS,207.13,14,2910.9,2193,4345.3
FIRE,MEDIUM,6249,42,BLANKETS,140.63,17,2666.1,1758,3489.4
EPIDEMIC,LOW,17719,15,MEDICINE,173.82,11,1398.4,593,566.4
FIRE,HIGH,2413,13,CLOTHING,37.38,1,42.8,286,472.0
EARTHQUAKE,MEDIUM,2307,13,HYGIENE_KITS,25.49,3,95.4,289,342.5
DROUGHT,HIGH,15231,9,FIRST_AID_KITS,103.92,3,382.5,648,635.2
FIRE,MEDIUM,3749,18,MEDICINE,44.3,4,128.0,369,684.9
EPIDEMIC,MEDIUM,17095,34,FOOD,12186.78,19,247442.8,110882,164148.8
